Rank;Titolo;Artista/Band;Media;Punti;Proponente
1;Come A Little Closer;Cage The Elephant;4,00;15;Gianmarco
2;China Town;Caparezza;3,93;12;Andrea
3;Shape of My Heart;Sting;3,79;10;Giada
4;In the Shadows;The Rasmus;3,71;7;Alice
5;Beware of Darkness - 2014 Remaster;George Harrison;3,64;6;Gabriele B.
6;Stare bene a metà - 2017 Remaster;Pino Daniele;3,57;5;Giada
6;Rapp Snitch Knishes;MF DOOM, Mr. Fantastik;3,57;5;Leonardo
6;Age of Consent - 2015 Remaster;New Order;3,57;5;Gabriele B.
9;Promises;The Cranberries;3,50;2;Alice
10;Putting Holes In Happiness;Marilyn Manson;3,36;1;Gabriele M.
10;Pathosfera;Caparezza;3,36;1;Leonardo
10;Hallelujah;Leonard Cohen;3,36;1;Giacomo
10;Bliss;Muse;3,36;1;Giacomo
