Rank;Utente;Gennaio_punti;Gennaio_media;Febbraio_punti;Febbraio_media;Marzo_punti;Marzo_media;Aprile_punti;Aprile_media;Maggio_punti;Maggio_media;Giugno_punti;Giugno_media;Luglio_punti;Luglio_media;Agosto_punti;Agosto_media;Settembre_punti;Settembre_media;Ottobre_punti;Ottobre_media;Novembre_punti;Novembre_media;Dicembre_punti;Dicembre_media;Totale_punti;Totale_media
1;Leonardo;36;3,88;9;3,46;;;;;;;;;;;;;;;;;;;;;45;3,67
2;Alice;13;3,38;15;3,61;;;;;;;;;;;;;;;;;;;;;28;3,50
3;Andrea;14;3,56;14;3,39;;;;;;;;;;;;;;;;;;;;;28;3,48
4;Gianmarco;7;3,31;19;3,46;;;;;;;;;;;;;;;;;;;;;26;3,39
5;Giada;3;3;21;3,68;;;;;;;;;;;;;;;;;;;;;24;3,34
6;Gabriele B.;;;17;3,61;;;;;;;;;;;;;;;;;;;;;17;3,61
7;Giacomo;12;3,5;3;3,36;;;;;;;;;;;;;;;;;;;;;15;3,43
8;Moncho;13;3,38;1;3,07;;;;;;;;;;;;;;;;;;;;;14;3,23
9;Gabriele M.;1;3;2;3,07;;;;;;;;;;;;;;;;;;;;;3;3,04
10;Alessandro;;;2;3,07;;;;;;;;;;;;;;;;;;;;;2;3,07
11;Elena;;;2;3,04;;;;;;;;;;;;;;;;;;;;;2;3,04
12;Sara;;;2;2,75;;;;;;;;;;;;;;;;;;;;;2;2,75
13;Gianluca;1;2,5;1;2,68;;;;;;;;;;;;;;;;;;;;;2;2,59
14;Eleonora;;;1;2,82;;;;;;;;;;;;;;;;;;;;;1;2,82
15;Federica;;;1;2,79;;;;;;;;;;;;;;;;;;;;;1;2,79
