Rank;Titolo;Artista/Band;Media;Punti;Proponente
1;Pier;Claver Gold, Murubutu;3,88;15;Leonardo
1;Diamante;Zucchero;3,88;15;Leonardo
3;Feather;Jnujabes, Cise Starr & Akin from CYNE;3,75;10;Moncho
3;End of Beginning;Djo;3,75;10;Alice
5;Simple As This;Jake Bugg;3,63;6;Andrea
5;Oh! Sweet Nuthin' - 2015 Remastered;The Velvet Underground;3,63;6;Gianmarco
5;Angel;Shaggy, Rayvon;3,63;6;Giacomo
8;Raccoglievo le more;Claver Gold, Michele Venanzoni;3,50;3;Andrea
9;Ghetto;Akon;3,38;2;Giacomo
9;Delete Ya;Djo;3,38;2;Giada
